"id","University","mfAcademicPayRatio","dev"
"133",173,"The University of St Andrews",1.18,0.18
"134",132,"Imperial College of Science, Technology and Medicine",1.19,0.19
"135",151,"University of London (Institutes and activities)",1.19,0.19
"136",154,"University of Newcastle-upon-Tyne",1.19,0.19
"137",155,"University of Nottingham",1.19,0.19
"138",41,"Trinity Laban Conservatoire of Music and Dance",1.19,0.19
"139",168,"The University of Glasgow",1.19,0.19
"140",184,"The Queen's University of Belfast",1.19,0.19
"141",125,"The University of Leicester",1.2,0.2
"142",137,"London School of Economics and Political Science",1.2,0.2
"143",138,"London School of Hygiene and Tropical Medicine",1.2,0.2
"144",3,"Royal College of Art",1.2,0.2
"145",114,"The University of Cambridge",1.21,0.21
"146",209,"The Liverpool Institute for Performing Arts",1.21,0.21
"147",145,"St George's Hospital Medical School",1.21,0.21
"148",170,"The University of Aberdeen",1.21,0.21
"149",203,"The University of Buckingham",1.22,0.22
"150",115,"The City University",1.22,0.22
"151",134,"King's College London",1.22,0.22
"152",179,"Cardiff University",1.22,0.22
"153",188,"The Institute of Cancer Research",1.23,0.23
"154",228,"Liverpool School of Tropical Medicine",1.23,0.23
"155",208,"Guildhall School of Music and Drama",1.24,0.24
"156",143,"The Royal Veterinary College",1.24,0.24
"157",135,"London Business School",1.25,0.25
"158",196,"University of the Highlands and Islands",1.35,0.35
"159",195,"Royal Agricultural University",1.37,0.37
"160",186,"The University of Wales (central functions)",1.38,0.38
