id,easting,northing,lat,lon,ws10,ws25,ws45
87,224500,107500,50.8351718,-4.499763128,5.8,6.6,7.2
88,225500,107500,50.83547506,-4.485574243,6.3,7,7.4
89,226500,107500,50.83577661,-4.471385114,6,6.7,7.2
90,227500,107500,50.83607643,-4.457195741,5.4,6.2,6.8
91,219500,106500,50.82464513,-4.570210101,5.1,5.9,6.5
92,220500,106500,50.82495691,-4.556025177,5,5.8,6.5
93,221500,106500,50.82526698,-4.541840001,5.2,6,6.5
94,222500,106500,50.82557532,-4.527654575,5.1,5.9,6.5
95,223500,106500,50.82588193,-4.513468902,5.1,6,6.6
96,224500,106500,50.82618683,-4.499282981,5.6,6.4,7
97,225500,106500,50.82649,-4.485096814,6.1,6.8,7.3
98,226500,106500,50.82679144,-4.470910404,5.9,6.7,7.2
99,227500,106500,50.82709117,-4.45672375,5.5,6.3,6.9
100,219500,105500,50.81566063,-4.569716617,5.1,6,6.5
101,220500,105500,50.81597232,-4.555534409,5.3,6.1,6.6
102,221500,105500,50.81628228,-4.541351949,5.1,5.9,6.5
103,222500,105500,50.81659052,-4.527169241,4.9,5.8,6.4
104,223500,105500,50.81689704,-4.512986283,5.2,6,6.6
105,224500,105500,50.81720184,-4.49880308,5.6,6.3,6.9
106,225500,105500,50.81750491,-4.48461963,5.8,6.6,7.1
107,226500,105500,50.81780626,-4.470435937,5.8,6.6,7.1
108,227500,105500,50.81810589,-4.456252001,5.5,6.3,6.9
109,219500,104500,50.80667611,-4.569223385,5.2,6.1,6.6
110,220500,104500,50.8069877,-4.555043891,5.5,6.3,6.8
111,221500,104500,50.80729757,-4.540864147,5,5.8,6.4
112,222500,104500,50.80760571,-4.526684154,4.8,5.7,6.3
113,223500,104500,50.80791213,-4.512503912,5.2,6,6.6
114,224500,104500,50.80821683,-4.498323424,5.5,6.2,6.8
115,225500,104500,50.80851981,-4.48414269,5.7,6.5,7
116,226500,104500,50.80882106,-4.469961713,5.9,6.6,7.1
117,227500,104500,50.80912059,-4.455780493,5.5,6.3,6.9
118,219500,103500,50.79769158,-4.568730405,5.3,6,6.6
119,220500,103500,50.79800307,-4.554553625,5.5,6.2,6.8
120,221500,103500,50.79831283,-4.540376595,5,5.8,6.4
121,222500,103500,50.79862088,-4.526199315,5,5.8,6.4
122,223500,103500,50.7989272,-4.512021787,5,5.8,6.4
123,224500,103500,50.79923181,-4.497844013,5.1,5.9,6.5
124,225500,103500,50.79953469,-4.483665994,5.6,6.3,6.8
125,226500,103500,50.79983585,-4.469487731,5.8,6.6,7.1
126,219500,102500,50.78870703,-4.568237677,4.9,5.7,6.3
127,220500,102500,50.78901842,-4.55406361,5.2,6,6.6
128,221500,102500,50.78932808,-4.539889292,5.3,6.1,6.6
129,222500,102500,50.78963603,-4.525714724,5,5.8,6.4
130,223500,102500,50.78994226,-4.511539909,4.7,5.6,6.2
131,224500,102500,50.79024676,-4.497364848,4.9,5.7,6.3
132,219500,101500,50.77972246,-4.567745202,4.9,5.8,6.4
133,220500,101500,50.78003375,-4.553573845,5.5,6.3,6.8
134,221500,101500,50.78034332,-4.539402237,5.5,6.2,6.8
135,222500,101500,50.78065117,-4.525230381,4.9,5.7,6.3
136,223500,101500,50.7809573,-4.511058277,4.7,5.5,6.1
137,224500,101500,50.78126171,-4.496885928,4.8,5.6,6.2
138,225500,101500,50.78156439,-4.482713333,5.2,5.9,6.5
139,218500,100500,50.77042496,-4.581421373,5,5.9,6.5
140,219500,100500,50.77073787,-4.567252977,5.6,6.4,7
141,220500,100500,50.77104906,-4.55308433,6,6.7,7.2
142,221500,100500,50.77135854,-4.538915432,5.5,6.3,6.8
143,222500,100500,50.77166629,-4.524746286,4.8,5.6,6.3
144,223500,100500,50.77197232,-4.510576892,4.4,5.3,6
145,224500,100500,50.77227663,-4.496407252,4.6,5.5,6.2
146,225500,100500,50.77257922,-4.482237367,5.3,6,6.6
147,226500,100500,50.7728801,-4.46806724,5.7,6.5,7
148,227500,100500,50.77317925,-4.45389687,5.7,6.4,6.9
149,216500,99500,50.76080968,-4.60925731,5,6,6.6
150,217500,99500,50.76112593,-4.595092129,5.7,6.5,7
151,218500,99500,50.76144046,-4.580926693,5.8,6.6,7.1
152,219500,99500,50.76175327,-4.566761005,5.8,6.6,7.1
153,220500,99500,50.76206436,-4.552595065,6,6.7,7.1
154,221500,99500,50.76237374,-4.538428876,5.4,6.1,6.7
155,222500,99500,50.76268139,-4.524262437,4.8,5.6,6.3
156,223500,99500,50.76298732,-4.510095752,4.6,5.5,6.2
157,224500,99500,50.76329154,-4.495928821,4.9,5.7,6.4
158,225500,99500,50.76359403,-4.481761645,5.4,6.2,6.8
159,226500,99500,50.76389481,-4.467594226,6,6.7,7.2
160,227500,99500,50.76419387,-4.453426566,5.8,6.5,7
161,228500,99500,50.7644912,-4.439258665,5.1,5.9,6.5
162,230500,99500,50.76508072,-4.410922148,5.2,5.9,6.5
163,231500,99500,50.7653729,-4.396753535,5.1,5.9,6.4
164,215500,98500,50.75150749,-4.62291969,5.3,6.1,6.8
165,216500,98500,50.75182536,-4.60875747,6.5,7.2,7.7
166,217500,98500,50.75214151,-4.594594995,6.5,7.2,7.7
167,218500,98500,50.75245594,-4.580432265,5.9,6.7,7.3
168,219500,98500,50.75276865,-4.566269284,5.8,6.6,7.2
169,220500,98500,50.75307964,-4.552106051,5.7,6.5,7.1
170,221500,98500,50.75338892,-4.537942568,5.2,6.1,6.7
171,222500,98500,50.75369647,-4.523778837,5.2,6,6.6
172,223500,98500,50.75400231,-4.509614858,5.4,6.2,6.7
